name,updatedAt,artist,url,type,attribute,note
六番目の駅,"Jan 30 2021, 06:36:14",久石譲,https://www.youtube.com/watch?v=2xda4Wl05Kg,instrumental,dark,""
The Bygone Days,"Jan 30 2021, 06:38:04",久石譲,https://www.youtube.com/watch?v=Htq2EUgcrKE,instrumental,"",""
Submerged Castle,"Jan 30 2021, 06:40:03",Pikmin 2,https://www.youtube.com/watch?v=N2Ikt9RJCNk,instrumental,dark,""
Berry,"Jan 30 2021, 06:41:17",unmo,https://soundcloud.com/unmo/berry,song,"",""
Shelter,"Jan 30 2021, 07:17:23",Porter Robinson,https://www.youtube.com/watch?v=HQnC1UHBvWA,instrumental,comfortable,Porter Robinson & Madeon
stella,"Jan 30 2021, 07:28:35",her,https://soundcloud.com/h_e-r/stella,song,"",unmo
Disco _,"Jan 30 2021, 07:29:29",Pinoki,https://www.youtube.com/watch?v=wF390udx-Pk&list=RDMMwF390udx-Pk&start_radio=1,song,"",""
Call your name,"Jan 30 2021, 07:30:19",unmo,https://soundcloud.com/unmo/call-your-name,song,comfortable,""
musasabi,"Jan 30 2021, 07:30:55",unmo,https://soundcloud.com/unmo/musasabi,song,comfortable,arranged by beef
Bonfire,"Jan 30 2021, 07:32:17",Harryan Yoonsoan,https://www.youtube.com/watch?v=2kosc1vJqlY&list=RDMMwF390udx-Pk&index=8,song,comfortable,Peder Elias
It's Raining Somewhere Else,"Jan 30 2021, 07:34:16",insaneintherainmusic,https://www.youtube.com/watch?v=MQ7zp_zyQHA&list=PLVcLj0DkpzD-8Ol-PKNZGj9AlnxJ31gqz&index=1,instrumental,dark,Toby Fox
When She Loved Me,"Jan 30 2021, 07:35:25",Stella Jang,https://www.youtube.com/watch?v=1VNdFaoErtc&list=PLVcLj0DkpzD-8Ol-PKNZGj9AlnxJ31gqz&index=4,song,dark,Toy Story 2
Delicate,"Jan 30 2021, 07:36:40",Taylor Swift,https://www.youtube.com/watch?v=tCXGJQYZ9JA&list=PLVcLj0DkpzD-8Ol-PKNZGj9AlnxJ31gqz&index=2,song,dark,""
ウ”ィ”エ”,"Jan 30 2021, 07:42:08",バーバパパ,https://www.youtube.com/watch?v=iSsct7423J4&list=PLVcLj0DkpzD_sqeWfBCP-AhLMx6HaNMPK&index=1,instrumental,dark,""
音虫をつかまえろ！,"Jan 30 2021, 07:42:48",KiWi,https://www.youtube.com/watch?v=o2gmUbDrqRE&list=RDGMEMYH9CUrFO7CfLJpaD7UR85w,song,dark,""
Way Back Home,"Jan 30 2021, 07:43:40",SHAUN,https://www.youtube.com/watch?v=SSSO64PctM0&list=RDGMEMYH9CUrFO7CfLJpaD7UR85w&index=2,song,"",""
Journey,"Jan 30 2021, 07:45:15",Snail's House,https://www.youtube.com/watch?v=JTpcy7EGPYY&list=RDGMEMYH9CUrFO7CfLJpaD7UR85w&index=3,instrumental,comfortable,In Love With a Ghost
Miracle,"Jan 30 2021, 07:45:44",Caravan Palace,https://www.youtube.com/watch?v=XRP9k9nlAfE&list=RDGMEMYH9CUrFO7CfLJpaD7UR85w&index=11,song,"",""
Roar of Brutality,"Jan 30 2021, 07:46:18",pencil,https://www.youtube.com/watch?v=D69yXwqoOsI&list=RDGMEMYH9CUrFO7CfLJpaD7UR85w&index=16,instrumental,dark,""
Be Fine,"Jan 30 2021, 07:46:47",Madeon,https://www.youtube.com/watch?v=TfnRTifSWh0&list=RDGMEMYH9CUrFO7CfLJpaD7UR85w&index=22,song,"",""
Phonecert,"Jan 30 2021, 08:57:25",10cm,https://www.youtube.com/watch?v=mOo8bVzN9M8&list=PLVcLj0DkpzD-6Dy5AU0KMOK6L_-nvPnPv&index=2,song,comfortable,""
"Magypsy's Home, Sweetie-Pie","Jan 30 2021, 08:58:10",Mother 3,https://www.youtube.com/watch?v=FMRST8PixfA&list=PLVcLj0DkpzD-6Dy5AU0KMOK6L_-nvPnPv&index=4,instrumental,"",""
interdimensional portal leading to a cute place,"Jan 30 2021, 08:59:12",in love with a ghost,https://www.youtube.com/watch?v=yDgWbM16QIw&list=PLVcLj0DkpzD-6Dy5AU0KMOK6L_-nvPnPv&index=7,instrumental,comfortable,Snail's house
Piano Man,"Jan 30 2021, 08:59:55",Billy Joel,https://www.youtube.com/watch?v=gxEPV4kolz0&list=PLVcLj0DkpzD-6Dy5AU0KMOK6L_-nvPnPv&index=10,song,"",""
Le Festin,"Jan 30 2021, 09:01:10",Stella Jang,https://www.youtube.com/watch?v=beamS4GZ5T8&list=PLVcLj0DkpzD-6Dy5AU0KMOK6L_-nvPnPv&index=11,song,comfortable,""
Villain,"Jan 30 2021, 09:01:28",Stella Jang,https://www.youtube.com/watch?v=ghpn99s8I-U,song,"",""
Colors,"Jan 30 2021, 09:01:52",Stella Jang,https://www.youtube.com/watch?v=LMLdOpwHtIg,song,"",""
Blank Space,"Jan 30 2021, 09:03:52",Taylor Swift,https://www.youtube.com/watch?v=e-ORhEE9VVg,song,"",""
Unwritten,"Jan 30 2021, 09:04:23",Natasha Bedingfield,https://www.youtube.com/watch?v=b7k0a5hYnSI,song,"",""
乳糜湯気,"Jan 30 2021, 09:05:09",長谷川白紙,https://soundcloud.com/hakushi-hasegawa/47bj3pdohtpi,song,"",""
肌色の川,"Jan 30 2021, 09:05:34",長谷川白紙,https://soundcloud.com/hakushi-hasegawa/cgef2m5w4tji,song,"",""
beepbit,"Jan 30 2021, 09:06:00",ああああ,https://soundcloud.com/ricora/beepbit-futures-vs-frums,instrumental,"",""
Moon River,"Jan 30 2021, 09:07:51",Audrey Hepburn,https://www.youtube.com/watch?v=vnoPke8tlAs,song,comfortable,""
Ghost Choir,"Jan 30 2021, 09:08:43",Louie Zong,https://www.youtube.com/watch?v=kmRS6YD52WQ,song,comfortable,""
hello world,"Jan 30 2021, 09:09:05",Louie Zong,https://www.youtube.com/watch?v=Yw6u6YkTgQ4,song,comfortable,""
Hopes and Dreams (Extended Mix),"Jan 30 2021, 09:10:27",Toby Fox,https://www.youtube.com/watch?v=_ScOWN1vzZo,instrumental,"",Hopes and Dreams | SAVE the world | Last Goodbye
Wachet Auf,"Jan 30 2021, 09:12:54",Bach,https://www.youtube.com/watch?v=IIOH2sCW13U,instrumental,comfortable,Sleepers Awake
Sheep may safely graze,"Jan 30 2021, 09:13:25",Bach,https://www.youtube.com/watch?v=B1nyzGR3tUE,instrumental,comfortable,""
Je te veux (Trumpet),"Jan 30 2021, 09:14:57",Erik Satie,https://www.youtube.com/watch?v=xy_yi083JLw,instrumental,comfortable,""
Doctor Gradus ad Parnassum,"Jan 30 2021, 09:15:59",Debussy,https://www.youtube.com/watch?v=8DsqghqJwlU,instrumental,"",the 1st piece from “Children’s Corner”
La Mer (1st Movement),"Jan 30 2021, 09:17:17",Debussy,https://www.youtube.com/watch?v=66hX8Ms0FwE,instrumental,"",""
牧神の午後への前奏曲,"Jan 30 2021, 09:18:09",Debussy,https://www.youtube.com/watch?v=zInZfeEj-4Q,instrumental,"",""
Ma mère l'Oye,"Jan 30 2021, 09:19:59",Ravel,https://www.youtube.com/watch?v=o3rir1bWTyI,instrumental,"",""
亡き王女のためのパヴァーヌ,"Jan 30 2021, 09:20:47",Ravel,https://www.youtube.com/watch?v=GHZlfQL1Zpg,instrumental,"",辻井伸行
Bolero,"Jan 30 2021, 09:21:27",Ravel,https://www.youtube.com/watch?v=ODeNHRtVNO4,instrumental,"",Gergiev
Armenian Dances Part 1,"Jan 30 2021, 09:22:14",Alfred Reed,https://www.youtube.com/watch?v=D0aKPALW4hM,instrumental,"",""
吹奏楽の為の「無言の変革」より 問い,"Jan 30 2021, 09:23:39",信国康博,https://www.youtube.com/watch?v=rO53s3IHbQ0,instrumental,dark,市立川口高
吹奏楽のための詩曲「アトモスフィア」,"Jan 30 2021, 09:25:49",名取吾朗,https://www.youtube.com/watch?v=xAY-1Nj0Ut4,instrumental,dark,市立川口高 信国康博
二つの交響的断章,"Jan 30 2021, 09:27:37",V.ネリベル,https://www.youtube.com/watch?v=zYKS7LngGZg,instrumental,dark,市立川口高 信国康博
Peace and Magic,"Jan 30 2021, 09:29:26",Lucky Tapes,https://soundcloud.com/lucky-tapes/peace-and-magic,song,"",""
kuskus,"Jan 30 2021, 09:30:15",miltata,https://soundcloud.com/miltata/kuskus,song,comfortable,unmo Private Images
private theater,"Jan 30 2021, 09:32:00",miltata,https://soundcloud.com/miltata/private-theater?in=miltata/sets/private-images,song,comfortable,unmo Private Images
quitte,"Jan 30 2021, 09:32:32",miltata,https://soundcloud.com/miltata/quitte?in=miltata/sets/private-images,instrumental,comfortable,unmo Private Images
ホニャ,"Jan 30 2021, 09:33:00",unmo,https://ghostlightjp.bandcamp.com/track/unmo,song,comfortable,""
Summer,"Jan 30 2021, 17:03:26",久石譲,https://www.youtube.com/watch?v=l0GN40EL1VU,instrumental,comfortable,""
インテルメッツォ,"Jan 30 2021, 17:04:14",保科 洋,https://www.youtube.com/watch?v=TxtlXOsoA3I,instrumental,"",""
mium,"Jan 30 2021, 17:06:00",miltata,https://soundcloud.com/miltata/mium?in=miltata/sets/private-images,instrumental,"",unmo Private Images
Mango Love,"Jan 30 2021, 17:08:42",Shawn Wasabi,https://soundcloud.com/sssshawnnnn/mango-love-ft-satica,song,"",""
Lionhearted,"Feb 03 2021, 15:25:23",Porter Robinson,https://www.youtube.com/watch?v=hgKDu5pp_fU,song,"",""
Monster Hotel ED,"Feb 07 2021, 15:35:54","",https://www.youtube.com/watch?v=slQtE2GY8cI,instrumental,"",""
tes,"Feb 08 2021, 07:43:36",Debussy,https://www.youtube.com/watch?v=srRclf_P8xg,instrumental,"",""
I Don't Care,"Feb 25 2021, 23:38:15",Harryan Yoonsoan,https://www.youtube.com/watch?v=xKDnFqNwxXc,song,"",""
SPICY BOYFRIEND,"Mar 08 2021, 03:28:36",Shawn Wasabi,https://soundcloud.com/sssshawnnnn/spicy-boyfriend,song,comfortable,""
Purpose,"Jun 04 2021, 18:55:53",Furui Riho,"",instrumental,"",""
天人の音楽,"Jun 12 2021, 12:37:30",久石譲,https://www.youtube.com/watch?v=94fOpa0jNc4,instrumental,"",かぐや姫の物語
こちら☆モナピザ,"Nov 19 2021, 14:59:30","",https://www.youtube.com/watch?v=y_c0HnI6LNE,song,"",メイドインワリオ
ナチュラルに恋して,"Dec 31 2021, 12:47:36",Perfume,https://www.youtube.com/watch?v=PXAlCazm3J0,song,"",""
PONPONOPN,"Jan 14 2022, 11:45:10",きゃりーぱみゅぱみゅ,https://www.youtube.com/watch?v=yzC4hFK5P3g,song,"",""
PONPONPON,"Jan 14 2022, 11:45:33",きゃりーぱみゅぱみゅ,https://www.youtube.com/watch?v=yzC4hFK5P3g,song,"",""
asdf,"Jan 24 2022, 19:42:53",sfa,asdf,instrumental,"",""
